symbol,date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
000001.SHZ,2004-06-10,9.1,9.16,9.03,9.08,9.08,3171248,0.0,1.0
000001.SHZ,2004-06-11,9.09,9.33,9.0,9.08,9.08,3725591,0.0,1.0
000001.SHZ,2004-06-14,9.0,9.05,8.8,8.89,8.89,3666796,0.0,1.0
000001.SHZ,2004-06-15,8.86,9.47,8.8,9.3,9.3,5295282,0.0,1.0
000001.SHZ,2004-06-16,9.3,9.32,9.13,9.21,9.21,3317098,0.0,1.0
000001.SHZ,2004-06-17,9.21,9.21,8.94,9.0,9.0,2913721,0.0,1.0
000001.SHZ,2004-06-18,9.0,9.15,8.95,9.1,9.1,2700508,0.0,1.0
000001.SHZ,2004-06-21,9.02,9.1,8.86,9.08,9.08,1916451,0.0,1.0
000001.SHZ,2004-06-22,9.08,9.17,9.0,9.11,9.11,2473812,0.0,1.0
000001.SHZ,2004-06-23,9.15,9.18,9.0,9.05,9.05,1731162,0.0,1.0
000001.SHZ,2004-06-24,9.02,9.12,8.9,8.92,8.92,2759182,0.0,1.0
000001.SHZ,2004-06-25,8.9,9.1,8.86,8.87,8.87,3103844,0.0,1.0
000001.SHZ,2004-06-28,8.81,8.9,8.38,8.41,8.41,5999953,0.0,1.0
000001.SHZ,2004-06-29,8.41,8.63,8.4,8.6,8.6,3576755,0.0,1.0
000001.SHZ,2004-07-01,8.52,8.8,8.45,8.76,8.76,3650686,0.0,1.0
000001.SHZ,2004-07-02,8.78,8.8,8.65,8.69,8.69,2735630,0.0,1.0
000001.SHZ,2004-07-05,8.7,8.74,8.59,8.64,8.64,1682130,0.0,1.0
000001.SHZ,2004-07-06,8.64,8.76,8.64,8.68,8.68,2088629,0.0,1.0
000001.SHZ,2004-07-07,8.68,8.7,8.53,8.56,8.56,1923263,0.0,1.0
000001.SHZ,2004-07-08,8.55,8.58,8.5,8.51,8.51,1828827,0.0,1.0
000001.SHZ,2004-07-09,8.55,8.72,8.43,8.45,8.45,2320243,0.0,1.0
000001.SHZ,2004-07-12,8.45,8.49,8.28,8.3,8.3,3556331,0.0,1.0
000001.SHZ,2004-07-13,8.32,8.39,8.29,8.35,8.35,1379240,0.0,1.0
000001.SHZ,2004-07-14,8.35,8.4,8.18,8.28,8.28,2381433,0.0,1.0
000001.SHZ,2004-07-15,8.29,8.45,8.28,8.4,8.4,2113052,0.0,1.0
000001.SHZ,2004-07-16,8.4,8.62,8.39,8.59,8.59,5250215,0.0,1.0
000001.SHZ,2004-07-19,8.58,8.66,8.49,8.59,8.59,2475375,0.0,1.0
000001.SHZ,2004-07-20,8.59,8.59,8.45,8.46,8.46,2302144,0.0,1.0
000001.SHZ,2004-07-21,8.46,8.48,8.38,8.39,8.39,1861981,0.0,1.0
000001.SHZ,2004-07-22,8.4,8.45,8.2,8.23,8.23,3757114,0.0,1.0
000001.SHZ,2004-07-23,8.22,8.22,8.0,8.14,8.14,5908841,0.0,1.0
000001.SHZ,2004-07-26,8.15,8.23,8.09,8.11,8.11,2119731,0.0,1.0
000001.SHZ,2004-07-27,8.11,8.16,8.0,8.04,8.04,2208980,0.0,1.0
000001.SHZ,2004-07-28,8.05,8.16,8.03,8.1,8.1,1567867,0.0,1.0
000001.SHZ,2004-07-29,8.1,8.21,8.1,8.2,8.2,1958987,0.0,1.0
000001.SHZ,2004-07-30,8.2,8.22,8.08,8.11,8.11,1634092,0.0,1.0
000001.SHZ,2004-08-02,8.08,8.1,8.01,8.06,8.06,1477232,0.0,1.0
000001.SHZ,2004-08-03,8.06,8.08,8.01,8.03,8.03,1709906,0.0,1.0
000001.SHZ,2004-08-04,8.02,8.29,8.0,8.19,8.19,3104425,0.0,1.0
000001.SHZ,2004-08-05,8.15,8.26,8.08,8.09,8.09,1788359,0.0,1.0
000001.SHZ,2004-08-06,8.09,8.15,8.08,8.1,8.1,1394539,0.0,1.0
000001.SHZ,2004-08-09,8.1,8.2,8.03,8.12,8.12,1616402,0.0,1.0
000001.SHZ,2004-08-10,8.13,8.17,8.02,8.14,8.14,1917343,0.0,1.0
000001.SHZ,2004-08-11,8.14,8.15,8.05,8.09,8.09,1376076,0.0,1.0
000001.SHZ,2004-08-12,8.07,8.07,7.9,7.97,7.97,3174146,0.0,1.0
000001.SHZ,2004-08-13,7.98,8.16,7.96,8.03,8.03,2190821,0.0,1.0
000001.SHZ,2004-08-16,8.04,8.2,7.97,8.06,8.06,1827408,0.0,1.0
000001.SHZ,2004-08-17,8.1,8.1,8.0,8.07,8.07,1160324,0.0,1.0
000001.SHZ,2004-08-18,8.1,8.23,8.08,8.13,8.13,3789165,0.0,1.0
000001.SHZ,2004-08-19,8.1,8.15,8.02,8.09,8.09,2211079,0.0,1.0
000001.SHZ,2004-08-20,8.08,8.18,8.04,8.16,8.16,2091954,0.0,1.0
000001.SHZ,2004-08-23,8.18,8.2,8.06,8.09,8.09,1632675,0.0,1.0
000001.SHZ,2004-08-24,8.05,8.17,8.04,8.13,8.13,1610465,0.0,1.0
000001.SHZ,2004-08-25,8.15,8.17,8.06,8.08,8.08,1001120,0.0,1.0
000001.SHZ,2004-08-26,8.08,8.1,8.0,8.0,8.0,2276229,0.0,1.0
000001.SHZ,2004-08-27,7.98,8.05,7.92,7.96,7.96,1834285,0.0,1.0
000001.SHZ,2004-08-30,7.96,8.11,7.91,8.06,8.06,1389317,0.0,1.0
000001.SHZ,2004-08-31,8.16,8.2,8.09,8.16,8.16,3017262,0.0,1.0
000001.SHZ,2004-09-01,8.16,8.16,8.0,8.02,8.02,1363167,0.0,1.0
000001.SHZ,2004-09-02,8.01,8.08,7.93,8.01,8.01,1969788,0.0,1.0
000001.SHZ,2004-09-03,8.01,8.05,7.97,7.98,7.98,1203302,0.0,1.0
000001.SHZ,2004-09-06,7.99,7.99,7.91,7.97,7.97,874812,0.0,1.0
000001.SHZ,2004-09-07,7.98,8.15,7.98,8.11,8.11,1065204,0.0,1.0
000001.SHZ,2004-09-08,8.11,8.13,8.01,8.09,8.09,1576484,0.0,1.0
000001.SHZ,2004-09-09,8.09,8.09,7.88,7.93,7.93,1992609,0.0,1.0
